x,Erfc,TS30,DTS (Fitted)
-1.04,0.14917,0.14917,0.149156,
-1.03,0.151505,0.151505,0.151493,
-1.02,0.153864,0.153864,0.153853,
-1.01,0.156248,0.156248,0.156238,
-1,0.158655,0.158655,0.158646,
-0.99,0.161087,0.161087,0.161079,
-0.98,0.163543,0.163543,0.163536,
-0.97,0.166023,0.166023,0.166017,
-0.96,0.168528,0.168528,0.168602,
-0.95,0.171056,0.171056,0.171124,
-0.94,0.173609,0.173609,0.17367,
-0.93,0.176186,0.176186,0.176242,
-0.92,0.178786,0.178786,0.178837,
-0.91,0.181411,0.181411,0.181457,
-0.9,0.18406,0.18406,0.184102,
-0.89,0.186733,0.186733,0.186771,
-0.88,0.18943,0.18943,0.189464,
-0.87,0.19215,0.19215,0.192181,
-0.86,0.194895,0.194895,0.194923,
-0.85,0.197663,0.197663,0.197688,
-0.84,0.200454,0.200454,0.200477,
-0.83,0.203269,0.203269,0.20329,
-0.82,0.206108,0.206108,0.206126,
-0.81,0.20897,0.20897,0.208987,
-0.8,0.211855,0.211855,0.21187,
-0.79,0.214764,0.214764,0.214777,
-0.78,0.217695,0.217695,0.217707,
-0.77,0.22065,0.22065,0.22066,
-0.76,0.223627,0.223627,0.223637,
-0.75,0.226627,0.226627,0.226636,
-0.74,0.22965,0.22965,0.229657,
-0.73,0.232695,0.232695,0.232702,
-0.72,0.235762,0.235762,0.235649,
-0.71,0.238852,0.238852,0.238749,
-0.7,0.241964,0.241964,0.24187,
-0.69,0.245097,0.245097,0.245013,
-0.68,0.248252,0.248252,0.248176,
-0.67,0.251429,0.251429,0.25136,
-0.66,0.254627,0.254627,0.254565,
-0.65,0.257846,0.257846,0.25779,
-0.64,0.261086,0.261086,0.261036,
-0.63,0.264347,0.264347,0.264302,
-0.62,0.267629,0.267629,0.267589,
-0.61,0.270931,0.270931,0.270895,
-0.6,0.274253,0.274253,0.274221,
-0.59,0.277595,0.277595,0.277567,
-0.58,0.280957,0.280957,0.280932,
-0.57,0.284339,0.284339,0.284316,
-0.56,0.28774,0.28774,0.28772,
-0.55,0.29116,0.29116,0.291142,
-0.54,0.294599,0.294599,0.294583,
-0.53,0.298056,0.298056,0.298042,
-0.52,0.301532,0.301532,0.30152,
-0.51,0.305026,0.305026,0.305015,
-0.5,0.308538,0.308538,0.308528,
-0.49,0.312067,0.312067,0.312059,
-0.48,0.315614,0.315614,0.315607,
-0.47,0.319178,0.319178,0.319172,
-0.46,0.322758,0.322758,0.322753,
-0.45,0.326355,0.326355,0.326351,
-0.44,0.329969,0.329969,0.330129,
-0.43,0.333598,0.333598,0.333741,
-0.42,0.337243,0.337243,0.33737,
-0.41,0.340903,0.340903,0.341016,
-0.4,0.344578,0.344578,0.344678,
-0.39,0.348268,0.348268,0.348357,
-0.38,0.351973,0.351973,0.35205,
-0.37,0.355691,0.355691,0.355759,
-0.36,0.359424,0.359424,0.359483,
-0.35,0.363169,0.363169,0.363221,
-0.34,0.366928,0.366928,0.366973,
-0.33,0.3707,0.3707,0.370739,
-0.32,0.374484,0.374484,0.374517,
-0.31,0.37828,0.37828,0.378309,
-0.3,0.382089,0.382089,0.382113,
-0.29,0.385908,0.385908,0.385928,
-0.28,0.389739,0.389739,0.389756,
-0.27,0.39358,0.39358,0.393594,
-0.26,0.397432,0.397432,0.397444,
-0.25,0.401294,0.401294,0.401303,
-0.24,0.405165,0.405165,0.405173,
-0.23,0.409046,0.409046,0.409052,
-0.22,0.412936,0.412936,0.412941,
-0.21,0.416834,0.416834,0.416838,
-0.2,0.42074,0.42074,0.420743,
-0.19,0.424655,0.424655,0.424657,
-0.18,0.428576,0.428576,0.428578,
-0.17,0.432505,0.432505,0.432506,
-0.16,0.436441,0.436441,0.436442,
-0.15,0.440382,0.440382,0.440383,
-0.14,0.44433,0.44433,0.444331,
-0.13,0.448283,0.448283,0.448284,
-0.12,0.452242,0.452242,0.452242,
-0.11,0.456205,0.456205,0.456116,
-0.1,0.460172,0.460172,0.460106,
-0.09,0.464144,0.464144,0.464095,
-0.08,0.468119,0.468119,0.468085,
-0.07,0.472097,0.472097,0.472074,
-0.06,0.476078,0.476078,0.476063,
-0.05,0.480061,0.480061,0.480053,
-0.04,0.484047,0.484047,0.484042,
-0.03,0.488034,0.488034,0.488032,
-0.02,0.492022,0.492022,0.492021,
-0.01,0.496011,0.496011,0.496011,
-4.09915e-14,0.5,0.5,0.5,
0.01,0.503989,0.503989,0.503989,
0.02,0.507978,0.507978,0.507979,
0.03,0.511966,0.511966,0.511968,
0.04,0.515953,0.515953,0.515958,
0.05,0.519939,0.519939,0.519947,
0.06,0.523922,0.523922,0.523937,
0.07,0.527903,0.527903,0.527926,
0.08,0.531881,0.531881,0.531915,
0.09,0.535856,0.535856,0.535905,
0.1,0.539828,0.539828,0.539894,
0.11,0.543795,0.543795,0.543884,
0.12,0.547758,0.547758,0.547758,
0.13,0.551717,0.551717,0.551716,
0.14,0.55567,0.55567,0.555669,
0.15,0.559618,0.559618,0.559617,
0.16,0.563559,0.563559,0.563558,
0.17,0.567495,0.567495,0.567494,
0.18,0.571424,0.571424,0.571422,
0.19,0.575345,0.575345,0.575343,
0.2,0.57926,0.57926,0.579257,
0.21,0.583166,0.583166,0.583162,
0.22,0.587064,0.587064,0.587059,
0.23,0.590954,0.590954,0.590948,
0.24,0.594835,0.594835,0.594827,
0.25,0.598706,0.598706,0.598697,
0.26,0.602568,0.602568,0.602556,
0.27,0.60642,0.60642,0.606406,
0.28,0.610261,0.610261,0.610244,
0.29,0.614092,0.614092,0.614072,
0.3,0.617911,0.617911,0.617887,
0.31,0.62172,0.62172,0.621691,
0.32,0.625516,0.625516,0.625483,
0.33,0.6293,0.6293,0.629261,
0.34,0.633072,0.633072,0.633027,
0.35,0.636831,0.636831,0.636779,
0.36,0.640576,0.640576,0.640517,
0.37,0.644309,0.644309,0.644241,
0.38,0.648027,0.648027,0.64795,
0.39,0.651732,0.651732,0.651643,
0.4,0.655422,0.655422,0.655322,
0.41,0.659097,0.659097,0.658984,
0.42,0.662757,0.662757,0.66263,
0.43,0.666402,0.666402,0.666259,
0.44,0.670031,0.670031,0.669871,
0.45,0.673645,0.673645,0.673649,
0.46,0.677242,0.677242,0.677247,
0.47,0.680822,0.680822,0.680828,
0.48,0.684386,0.684386,0.684393,
0.49,0.687933,0.687933,0.687941,
0.5,0.691462,0.691462,0.691472,
0.51,0.694974,0.694974,0.694985,
0.52,0.698468,0.698468,0.69848,
0.53,0.701944,0.701944,0.701958,
0.54,0.705401,0.705401,0.705417,
0.55,0.70884,0.70884,0.708858,
0.56,0.71226,0.71226,0.71228,
0.57,0.715661,0.715661,0.715684,
0.58,0.719043,0.719043,0.719068,
0.59,0.722405,0.722405,0.722433,
0.6,0.725747,0.725747,0.725779,
0.61,0.729069,0.729069,0.729105,
0.62,0.732371,0.732371,0.732411,
0.63,0.735653,0.735653,0.735698,
0.64,0.738914,0.738914,0.738964,
0.65,0.742154,0.742154,0.74221,
0.66,0.745373,0.745373,0.745435,
0.67,0.748571,0.748571,0.74864,
0.68,0.751748,0.751748,0.751824,
0.69,0.754903,0.754903,0.754987,
0.7,0.758036,0.758036,0.75813,
0.71,0.761148,0.761148,0.761251,
0.72,0.764238,0.764238,0.764351,
0.73,0.767305,0.767305,0.767298,
0.74,0.77035,0.77035,0.770343,
0.75,0.773373,0.773373,0.773364,
0.76,0.776373,0.776373,0.776363,
0.77,0.77935,0.77935,0.77934,
0.78,0.782305,0.782305,0.782293,
0.79,0.785236,0.785236,0.785223,
0.8,0.788145,0.788145,0.78813,
0.81,0.79103,0.79103,0.791013,
0.82,0.793892,0.793892,0.793874,
0.83,0.796731,0.796731,0.79671,
0.84,0.799546,0.799546,0.799523,
0.85,0.802337,0.802337,0.802312,
0.86,0.805105,0.805105,0.805077,
0.87,0.80785,0.80785,0.807819,
0.88,0.81057,0.81057,0.810536,
0.89,0.813267,0.813267,0.813229,
0.9,0.81594,0.81594,0.815898,
0.91,0.818589,0.818589,0.818543,
0.92,0.821214,0.821214,0.821163,
0.93,0.823814,0.823814,0.823758,
0.94,0.826391,0.826391,0.82633,
0.95,0.828944,0.828944,0.828876,
0.96,0.831472,0.831472,0.831398,
0.97,0.833977,0.833977,0.833983,
0.98,0.836457,0.836457,0.836464,
0.99,0.838913,0.838913,0.838921,
1,0.841345,0.841345,0.841354,
1.01,0.843752,0.843752,0.843762,
1.02,0.846136,0.846136,0.846147,
1.03,0.848495,0.848495,0.848507,
1.04,0.85083,0.85083,0.850844,
1.05,0.853141,0.853141,0.853156,
1.06,0.855428,0.855428,0.855444,
1.07,0.85769,0.85769,0.857709,
1.08,0.859929,0.859929,0.859949,
1.09,0.862143,0.862143,0.862166,
1.1,0.864334,0.864334,0.864359,
1.11,0.8665,0.8665,0.866528,
1.12,0.868643,0.868643,0.868673,
1.13,0.870762,0.870762,0.870795,
1.14,0.872857,0.872857,0.872893,
1.15,0.874928,0.874928,0.874968,
1.16,0.876976,0.876976,0.87702,
1.17,0.879,0.879,0.879048,
1.18,0.881,0.881,0.881053,
1.19,0.882977,0.882977,0.882971,
1.2,0.88493,0.88493,0.884924,
1.21,0.886861,0.886861,0.886853,
1.22,0.888768,0.888768,0.888759,
1.23,0.890651,0.890651,0.890642,
1.24,0.892512,0.892512,0.892502,
1.25,0.89435,0.89435,0.894339,
1.26,0.896165,0.896165,0.896153,
1.27,0.897958,0.897958,0.897944,
1.28,0.899727,0.899727,0.899712,
1.29,0.901475,0.901475,0.901458,
1.3,0.9032,0.9032,0.903181,
1.31,0.904902,0.904902,0.904882,
1.32,0.906582,0.906582,0.90656,
1.33,0.908241,0.908241,0.908216,
1.34,0.909877,0.909877,0.90985,
1.35,0.911492,0.911492,0.911462,
1.36,0.913085,0.913085,0.913053,
1.37,0.914657,0.914657,0.914621,
1.38,0.916207,0.916207,0.916168,
1.39,0.917736,0.917736,0.917693,
1.4,0.919243,0.919243,0.919249,
1.41,0.92073,0.92073,0.920737,
1.42,0.922196,0.922196,0.922203,
1.43,0.923641,0.923641,0.923649,
1.44,0.925066,0.925066,0.925075,
1.45,0.926471,0.926471,0.92648,
1.46,0.927855,0.927855,0.927866,
1.47,0.929219,0.929219,0.929231,
1.48,0.930563,0.930563,0.930577,
1.49,0.931888,0.931888,0.931902,
1.5,0.933193,0.933193,0.933209,
1.51,0.934478,0.934478,0.934496,
1.52,0.935745,0.935745,0.935764,
1.53,0.936992,0.936992,0.937013,
1.54,0.93822,0.93822,0.938243,
1.55,0.939429,0.939429,0.939455,
1.56,0.94062,0.94062,0.940649,
1.57,0.941792,0.941792,0.941824,
1.58,0.942947,0.942947,0.942981,
1.59,0.944083,0.944083,0.944077,
1.6,0.945201,0.945201,0.945195,
1.61,0.946301,0.946301,0.946294,
1.62,0.947384,0.947384,0.947377,
1.63,0.948449,0.948449,0.948441,
1.64,0.949497,0.949497,0.949488,
1.65,0.950529,0.950529,0.950519,
1.66,0.951543,0.951543,0.951532,
1.67,0.95254,0.95254,0.952528,
1.68,0.953521,0.953521,0.953508,
1.69,0.954486,0.954486,0.954471,
1.7,0.955435,0.955435,0.955418,
1.71,0.956367,0.956367,0.956349,
1.72,0.957284,0.957284,0.957264,
1.73,0.958185,0.958185,0.958163,
1.74,0.95907,0.95907,0.959046,
1.75,0.959941,0.959941,0.959914,
1.76,0.960796,0.960796,0.960801,
1.77,0.961636,0.961636,0.961642,
1.78,0.962462,0.962462,0.962468,
1.79,0.963273,0.963273,0.963279,
1.8,0.96407,0.96407,0.964077,
1.81,0.964852,0.964852,0.96486,
1.82,0.96562,0.96562,0.965629,
1.83,0.966375,0.966375,0.966385,
1.84,0.967116,0.967116,0.967126,
1.85,0.967843,0.967843,0.967855,
1.86,0.968557,0.968557,0.96857,
1.87,0.969258,0.969258,0.969272,
1.88,0.969946,0.969946,0.969962,
1.89,0.970621,0.970621,0.970638,
1.9,0.971283,0.971283,0.971303,
1.91,0.971933,0.971933,0.971955,
1.92,0.972571,0.972571,0.972594,
1.93,0.973197,0.973197,0.973192,
1.94,0.97381,0.97381,0.973805,
1.95,0.974412,0.974412,0.974407,
1.96,0.975002,0.975002,0.974996,
1.97,0.975581,0.975581,0.975574,
1.98,0.976148,0.976148,0.976141,
1.99,0.976705,0.976705,0.976696,
2,0.97725,0.97725,0.977241,
2.01,0.977784,0.977784,0.977774,
2.02,0.978308,0.978308,0.978297,
2.03,0.978822,0.978822,0.978809,
2.04,0.979325,0.979325,0.979311,
2.05,0.979818,0.979818,0.979802,
