x,N0,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22,N23,N24,N25,N26,N27,N28,N29,N30,
-3.671,-0.964517,2.32485,-4.32439,6.34308,-7.63334,7.77708,-6.86663,5.34979,-3.72915,2.35257,-1.35509,0.718573,-0.352657,0.161451,-0.0689217,0.0278871,-0.0104114,0.00390118,-0.00116697,0.000538217,-8.24664e-06,0.000158938,0.000110009,0.000123733,0.000120037,0.000120994,0.000120756,0.000120813,0.0001208,0.000120803,0.000120802,
-3.67,-0.964118,2.32256,-4.31763,6.32952,-7.61267,7.75163,-6.84031,5.32629,-3.7107,2.33963,-1.34688,0.713827,-0.350132,0.160208,-0.0683514,0.0276432,-0.0103125,0.00386426,-0.00115306,0.000534108,-6.28606e-06,0.000158951,0.000110618,0.000124168,0.000120521,0.000121465,0.00012123,0.000121286,0.000121273,0.000121276,0.000121276,
-3.669,-0.963719,2.32027,-4.31087,6.31598,-7.59205,7.72626,-6.81408,5.30289,-3.69233,2.32675,-1.33872,0.709111,-0.347624,0.158975,-0.0677856,0.0274014,-0.0102144,0.0038277,-0.00113928,0.000530049,-4.34047e-06,0.000158972,0.000111228,0.000124605,0.000121007,0.000121938,0.000121706,0.000121762,0.000121749,0.000121752,0.000121751,
-3.668,-0.96332,2.31799,-4.30413,6.30247,-7.57149,7.70097,-6.78794,5.27959,-3.67404,2.31394,-1.33061,0.704424,-0.345133,0.157751,-0.0672244,0.0271617,-0.0101173,0.0037915,-0.00112563,0.000526041,-2.40967e-06,0.000159,0.000111838,0.000125045,0.000121494,0.000122412,0.000122184,0.000122238,0.000122226,0.000122229,0.000122228,
-3.667,-0.962921,2.3157,-4.29739,6.28898,-7.55097,7.67574,-6.76189,5.25638,-3.65585,2.3012,-1.32254,0.699768,-0.34266,0.156535,-0.0666676,0.026924,-0.010021,0.00375566,-0.00111212,0.000522082,-4.93492e-07,0.000159035,0.000112448,0.000125487,0.000121983,0.000122888,0.000122663,0.000122717,0.000122705,0.000122707,0.000122707,
-3.666,-0.962522,2.31342,-4.29066,6.27552,-7.5305,7.6506,-6.73594,5.23327,-3.63773,2.28852,-1.31452,0.69514,-0.340204,0.155329,-0.0661153,0.0266884,-0.00992566,0.00372016,-0.00109874,0.000518173,1.40826e-06,0.000159076,0.000113058,0.000125931,0.000122474,0.000123366,0.000123144,0.000123198,0.000123185,0.000123188,0.000123187,
-3.665,-0.962123,2.31114,-4.28394,6.26208,-7.51008,7.62553,-6.71007,5.21025,-3.6197,2.27591,-1.30655,0.690543,-0.337764,0.154132,-0.0655673,0.0264548,-0.00983113,0.00368502,-0.00108549,0.000514312,3.29578e-06,0.000159125,0.000113668,0.000126377,0.000122966,0.000123846,0.000123627,0.00012368,0.000123668,0.00012367,0.00012367,
-3.664,-0.961725,2.30886,-4.27723,6.24867,-7.48971,7.60053,-6.6843,5.18732,-3.60176,2.26337,-1.29862,0.685974,-0.335341,0.152944,-0.0650238,0.0262232,-0.00973745,0.00365022,-0.00107237,0.0005105,5.16923e-06,0.000159181,0.000114278,0.000126825,0.000123459,0.000124328,0.000124112,0.000124164,0.000124152,0.000124154,0.000124154,
-3.663,-0.961326,2.30658,-4.27052,6.23528,-7.46939,7.57561,-6.65863,5.16449,-3.5839,2.25089,-1.29074,0.681434,-0.332935,0.151765,-0.0644845,0.0259935,-0.00964461,0.00361576,-0.00105937,0.000506736,7.02881e-06,0.000159243,0.000114889,0.000127276,0.000123955,0.000124811,0.000124598,0.000124649,0.000124638,0.00012464,0.00012464,
-3.662,-0.960927,2.3043,-4.26383,6.22192,-7.44912,7.55076,-6.63304,5.14176,-3.56612,2.23847,-1.28291,0.676923,-0.330546,0.150594,-0.0639496,0.0257658,-0.00955262,0.00358164,-0.0010465,0.000503019,8.87468e-06,0.000159312,0.0001155,0.000127729,0.000124452,0.000125296,0.000125087,0.000125137,0.000125125,0.000125128,0.000125127,
-3.661,-0.960528,2.30203,-4.25714,6.20858,-7.4289,7.52599,-6.60754,5.11912,-3.54843,2.22612,-1.27512,0.672441,-0.328173,0.149432,-0.063419,0.0255401,-0.00946145,0.00354785,-0.00103375,0.000499349,1.0707e-05,0.000159388,0.000116111,0.000128184,0.000124951,0.000125783,0.000125577,0.000125626,0.000125615,0.000125617,0.000125617,
-3.66,-0.960129,2.29975,-4.25046,6.19526,-7.40872,7.50129,-6.58213,5.09657,-3.53082,2.21384,-1.26737,0.667987,-0.325816,0.148279,-0.0628926,0.0253163,-0.00937111,0.0035144,-0.00102113,0.000495725,1.2526e-05,0.000159471,0.000116723,0.000128641,0.000125451,0.000126272,0.000126069,0.000126117,0.000126106,0.000126109,0.000126108,
-3.659,-0.95973,2.29748,-4.24379,6.18197,-7.3886,7.47667,-6.55682,5.07411,-3.51329,2.20162,-1.25967,0.663561,-0.323476,0.147134,-0.0623704,0.0250945,-0.00928158,0.00348127,-0.00100862,0.000492148,1.43318e-05,0.00015956,0.000117334,0.000129101,0.000125953,0.000126763,0.000126562,0.00012661,0.000126599,0.000126602,0.000126601,
-3.658,-0.959331,2.29521,-4.23713,6.1687,-7.36852,7.45212,-6.53159,5.05175,-3.49584,2.18947,-1.25202,0.659164,-0.321151,0.145998,-0.0618523,0.0248745,-0.00919286,0.00344848,-0.000996244,0.000488616,1.61247e-05,0.000159656,0.000117946,0.000129563,0.000126457,0.000127255,0.000127058,0.000127105,0.000127094,0.000127096,0.000127096,
-3.657,-0.958932,2.29294,-4.23047,6.15546,-7.34849,7.42764,-6.50646,5.02948,-3.47847,2.17737,-1.24441,0.654794,-0.318843,0.144871,-0.0613384,0.0246564,-0.00910495,0.003416,-0.000983982,0.000485129,1.79046e-05,0.000159758,0.000118559,0.000130027,0.000126962,0.00012775,0.000127555,0.000127601,0.000127591,0.000127593,0.000127593,
-3.656,-0.958533,2.29067,-4.22382,6.14224,-7.32851,7.40323,-6.48141,5.0073,-3.46119,2.16534,-1.23684,0.650452,-0.316551,0.143751,-0.0608287,0.0244402,-0.00901782,0.00338385,-0.000971838,0.000481686,1.96719e-05,0.000159867,0.000119172,0.000130493,0.000127469,0.000128246,0.000128054,0.0001281,0.000128089,0.000128092,0.000128091,
-3.655,-0.958134,2.28841,-4.21719,6.12905,-7.30858,7.3789,-6.45645,4.98521,-3.44399,2.15338,-1.22932,0.646138,-0.314274,0.142641,-0.0603229,0.0242259,-0.00893149,0.00335201,-0.000959811,0.000478288,2.14267e-05,0.000159983,0.000119785,0.000130962,0.000127978,0.000128744,0.000128555,0.0001286,0.00012859,0.000128592,0.000128591,
-3.654,-0.957735,2.28614,-4.21056,6.11588,-7.2887,7.35464,-6.43158,4.96321,-3.42686,2.14148,-1.22184,0.641851,-0.312014,0.141538,-0.0598213,0.0240134,-0.00884593,0.00332048,-0.0009479,0.000474934,2.31692e-05,0.000160104,0.000120398,0.000131433,0.000128489,0.000129244,0.000129058,0.000129102,0.000129092,0.000129094,0.000129094,
-3.653,-0.957336,2.28388,-4.20394,6.10274,-7.26886,7.33045,-6.4068,4.9413,-3.40982,2.12964,-1.2144,0.637591,-0.309769,0.140444,-0.0593236,0.0238027,-0.00876115,0.00328927,-0.000936104,0.000471622,2.48995e-05,0.000160232,0.000121013,0.000131906,0.000129001,0.000129746,0.000129562,0.000129606,0.000129596,0.000129598,0.000129598,
-3.652,-0.956937,2.28162,-4.19732,6.08962,-7.24908,7.30634,-6.38211,4.91949,-3.39286,2.11786,-1.20701,0.633359,-0.307539,0.139357,-0.05883,0.0235938,-0.00867713,0.00325837,-0.000924421,0.000468354,2.66177e-05,0.000160367,0.000121627,0.000132381,0.000129515,0.00013025,0.000130068,0.000130112,0.000130102,0.000130104,0.000130103,
-3.651,-0.956538,2.27936,-4.19072,6.07652,-7.22934,7.2823,-6.3575,4.89776,-3.37598,2.10614,-1.19966,0.629153,-0.305325,0.138279,-0.0583403,0.0233868,-0.00859387,0.00322777,-0.00091285,0.000465128,2.83241e-05,0.000160507,0.000122242,0.000132859,0.000130031,0.000130755,0.000130577,0.000130619,0.000130609,0.000130612,0.000130611,
-3.65,-0.956139,2.2771,-4.18412,6.06345,-7.20964,7.25833,-6.33299,4.87613,-3.35917,2.09449,-1.19235,0.624974,-0.303126,0.137209,-0.0578545,0.0231815,-0.00851137,0.00319747,-0.000901391,0.000461945,3.00188e-05,0.000160654,0.000122858,0.000133339,0.000130548,0.000131263,0.000131087,0.000131129,0.000131119,0.000131121,0.000131121,
-3.649,-0.95574,2.27484,-4.17753,6.0504,-7.19,7.23443,-6.30856,4.85458,-3.34245,2.08289,-1.18509,0.620822,-0.300942,0.136147,-0.0573726,0.0229779,-0.00842961,0.00316748,-0.000890041,0.000458803,3.1702e-05,0.000160807,0.000123474,0.000133821,0.000131068,0.000131772,0.000131599,0.00013164,0.00013163,0.000131632,0.000131632,
-3.648,-0.955341,2.27258,-4.17095,6.03737,-7.1704,7.2106,-6.28422,4.83312,-3.3258,2.07136,-1.17786,0.616696,-0.298773,0.135093,-0.0568945,0.0227762,-0.00834859,0.00313778,-0.000878801,0.000455702,3.33738e-05,0.000160966,0.000124091,0.000134305,0.000131589,0.000132283,0.000132112,0.000132153,0.000132144,0.000132146,0.000132145,
-3.647,-0.954942,2.27033,-4.16438,6.02437,-7.15086,7.18685,-6.25996,4.81175,-3.30923,2.05989,-1.17068,0.612596,-0.29662,0.134047,-0.0564203,0.0225761,-0.0082683,0.00310837,-0.000867668,0.000452642,3.50343e-05,0.000161132,0.000124708,0.000134792,0.000132112,0.000132797,0.000132628,0.000132668,0.000132659,0.000132661,0.00013266,
-3.646,-0.954544,2.26807,-4.15782,6.0114,-7.13135,7.16316,-6.23579,4.79047,-3.29274,2.04847,-1.16354,0.608523,-0.294481,0.133009,-0.0559499,0.0223778,-0.00818874,0.00307926,-0.000856642,0.000449622,3.66838e-05,0.000161303,0.000125326,0.00013528,0.000132636,0.000133312,0.000133145,0.000133185,0.000133176,0.000133178,0.000133177,
-3.645,-0.954145,2.26582,-4.15126,5.99845,-7.1119,7.13955,-6.21171,4.76928,-3.27633,2.03712,-1.15645,0.604476,-0.292357,0.131978,-0.0554833,0.0221812,-0.0081099,0.00305043,-0.000845721,0.000446642,3.83223e-05,0.00016148,0.000125945,0.000135771,0.000133163,0.000133829,0.000133665,0.000133704,0.000133695,0.000133697,0.000133696,
-3.644,-0.953746,2.26357,-4.14471,5.98552,-7.09249,7.11601,-6.18771,4.74817,-3.25999,2.02583,-1.14939,0.600454,-0.290248,0.130955,-0.0550204,0.0219863,-0.00803178,0.00302189,-0.000834906,0.000443702,3.995e-05,0.000161663,0.000126564,0.000136265,0.000133691,0.000134348,0.000134186,0.000134224,0.000134216,0.000134218,0.000134217,
-3.643,-0.953347,2.26132,-4.13818,5.97261,-7.07313,7.09253,-6.1638,4.72715,-3.24373,2.0146,-1.14237,0.596458,-0.288153,0.12994,-0.0545612,0.0217931,-0.00795436,0.00299364,-0.000824193,0.000440801,4.15671e-05,0.000161852,0.000127184,0.00013676,0.000134221,0.000134868,0.000134709,0.000134747,0.000134738,0.00013474,0.00013474,
-3.642,-0.952948,2.25908,-4.13164,5.95973,-7.05382,7.06913,-6.13997,4.70622,-3.22755,2.00342,-1.1354,0.592487,-0.286073,0.128933,-0.0541057,0.0216015,-0.00787764,0.00296566,-0.000813583,0.000437939,4.31737e-05,0.000162047,0.000127804,0.000137258,0.000134752,0.000135391,0.000135234,0.000135271,0.000135263,0.000135265,0.000135264,
-3.641,-0.952549,2.25683,-4.12512,5.94687,-7.03455,7.0458,-6.11623,4.68538,-3.21144,1.99231,-1.12847,0.588542,-0.284008,0.127933,-0.0536538,0.0214116,-0.00780161,0.00293797,-0.000803075,0.000435116,4.47699e-05,0.000162248,0.000128426,0.000137758,0.000135286,0.000135916,0.000135761,0.000135798,0.00013579,0.000135791,0.000135791,
-3.64,-0.95215,2.25458,-4.11861,5.93404,-7.01533,7.02254,-6.09258,4.66462,-3.19541,1.98125,-1.12157,0.584622,-0.281956,0.12694,-0.0532056,0.0212233,-0.00772628,0.00291055,-0.000792666,0.00043233,4.63559e-05,0.000162455,0.000129048,0.000138261,0.000135821,0.000136443,0.00013629,0.000136326,0.000136318,0.00013632,0.000136319,
-3.639,-0.951751,2.25234,-4.1121,5.92123,-6.99616,6.99935,-6.06901,4.64395,-3.17946,1.97025,-1.11472,0.580727,-0.279919,0.125955,-0.052761,0.0210366,-0.00765163,0.0028834,-0.000782357,0.000429582,4.79319e-05,0.000162667,0.000129671,0.000138765,0.000136359,0.000136971,0.000136821,0.000136857,0.000136848,0.00013685,0.00013685,
