x,Erfc,TS05,TS10,TS15,TS20,TS30
-1.5,0.0668072,0.0669208,0.0668072,0.0668072,0.0668072,0.0668072,
-1.49,0.0681121,0.0682164,0.0681121,0.0681121,0.0681121,0.0681121,
-1.48,0.0694366,0.0695323,0.0694366,0.0694366,0.0694366,0.0694366,
-1.47,0.0707809,0.0708687,0.0707809,0.0707809,0.0707809,0.0707809,
-1.46,0.072145,0.0722255,0.072145,0.072145,0.072145,0.072145,
-1.45,0.0735293,0.073603,0.0735293,0.0735293,0.0735293,0.0735293,
-1.44,0.0749337,0.0750012,0.0749337,0.0749337,0.0749337,0.0749337,
-1.43,0.0763585,0.0764202,0.0763585,0.0763585,0.0763585,0.0763585,
-1.42,0.0778038,0.0778603,0.0778038,0.0778038,0.0778038,0.0778038,
-1.41,0.0792698,0.0793214,0.0792698,0.0792698,0.0792698,0.0792698,
-1.4,0.0807567,0.0808037,0.0807567,0.0807567,0.0807567,0.0807567,
-1.39,0.0822644,0.0823074,0.0822644,0.0822644,0.0822644,0.0822644,
-1.38,0.0837933,0.0838325,0.0837933,0.0837933,0.0837933,0.0837933,
-1.37,0.0853435,0.0853791,0.0853435,0.0853435,0.0853435,0.0853435,
-1.36,0.086915,0.0869475,0.086915,0.086915,0.086915,0.086915,
-1.35,0.088508,0.0885376,0.088508,0.088508,0.088508,0.088508,
-1.34,0.0901227,0.0901496,0.0901227,0.0901227,0.0901227,0.0901227,
-1.33,0.0917591,0.0917836,0.0917591,0.0917591,0.0917591,0.0917591,
-1.32,0.0934175,0.0934397,0.0934175,0.0934175,0.0934175,0.0934175,
-1.31,0.0950979,0.095118,0.0950979,0.0950979,0.0950979,0.0950979,
-1.3,0.0968005,0.0968187,0.0968005,0.0968005,0.0968005,0.0968005,
-1.29,0.0985253,0.0985419,0.0985253,0.0985253,0.0985253,0.0985253,
-1.28,0.100273,0.100288,0.100273,0.100273,0.100273,0.100273,
-1.27,0.102042,0.102056,0.102042,0.102042,0.102042,0.102042,
-1.26,0.103835,0.103847,0.103835,0.103835,0.103835,0.103835,
-1.25,0.10565,0.105661,0.10565,0.10565,0.10565,0.10565,
-1.24,0.107488,0.107498,0.107488,0.107488,0.107488,0.107488,
-1.23,0.109349,0.109358,0.109349,0.109349,0.109349,0.109349,
-1.22,0.111232,0.111241,0.111232,0.111232,0.111232,0.111232,
-1.21,0.113139,0.113147,0.113139,0.113139,0.113139,0.113139,
-1.2,0.11507,0.115076,0.11507,0.11507,0.11507,0.11507,
-1.19,0.117023,0.117029,0.117023,0.117023,0.117023,0.117023,
-1.18,0.119,0.119005,0.119,0.119,0.119,0.119,
-1.17,0.121,0.121005,0.121,0.121,0.121,0.121,
-1.16,0.123024,0.123029,0.123024,0.123024,0.123024,0.123024,
-1.15,0.125072,0.125076,0.125072,0.125072,0.125072,0.125072,
-1.14,0.127143,0.127147,0.127143,0.127143,0.127143,0.127143,
-1.13,0.129238,0.129241,0.129238,0.129238,0.129238,0.129238,
-1.12,0.131357,0.13136,0.131357,0.131357,0.131357,0.131357,
-1.11,0.1335,0.133502,0.1335,0.1335,0.1335,0.1335,
-1.1,0.135666,0.135668,0.135666,0.135666,0.135666,0.135666,
-1.09,0.137857,0.137858,0.137857,0.137857,0.137857,0.137857,
-1.08,0.140071,0.140073,0.140071,0.140071,0.140071,0.140071,
-1.07,0.14231,0.142311,0.14231,0.14231,0.14231,0.14231,
-1.06,0.144572,0.144574,0.144572,0.144572,0.144572,0.144572,
-1.05,0.146859,0.14686,0.146859,0.146859,0.146859,0.146859,
-1.04,0.14917,0.149171,0.14917,0.14917,0.14917,0.14917,
-1.03,0.151505,0.151506,0.151505,0.151505,0.151505,0.151505,
-1.02,0.153864,0.153865,0.153864,0.153864,0.153864,0.153864,
-1.01,0.156248,0.156248,0.156248,0.156248,0.156248,0.156248,
-1,0.158655,0.158656,0.158655,0.158655,0.158655,0.158655,
-0.99,0.161087,0.161088,0.161087,0.161087,0.161087,0.161087,
-0.98,0.163543,0.163544,0.163543,0.163543,0.163543,0.163543,
-0.97,0.166023,0.166024,0.166023,0.166023,0.166023,0.166023,
-0.96,0.168528,0.168528,0.168528,0.168528,0.168528,0.168528,
-0.95,0.171056,0.171056,0.171056,0.171056,0.171056,0.171056,
-0.94,0.173609,0.173609,0.173609,0.173609,0.173609,0.173609,
-0.93,0.176186,0.176186,0.176186,0.176186,0.176186,0.176186,
-0.92,0.178786,0.178787,0.178786,0.178786,0.178786,0.178786,
-0.91,0.181411,0.181411,0.181411,0.181411,0.181411,0.181411,
-0.9,0.18406,0.18406,0.18406,0.18406,0.18406,0.18406,
-0.89,0.186733,0.186733,0.186733,0.186733,0.186733,0.186733,
-0.88,0.18943,0.18943,0.18943,0.18943,0.18943,0.18943,
-0.87,0.19215,0.19215,0.19215,0.19215,0.19215,0.19215,
-0.86,0.194895,0.194895,0.194895,0.194895,0.194895,0.194895,
-0.85,0.197663,0.197663,0.197663,0.197663,0.197663,0.197663,
-0.84,0.200454,0.200454,0.200454,0.200454,0.200454,0.200454,
-0.83,0.203269,0.203269,0.203269,0.203269,0.203269,0.203269,
-0.82,0.206108,0.206108,0.206108,0.206108,0.206108,0.206108,
-0.81,0.20897,0.20897,0.20897,0.20897,0.20897,0.20897,
-0.8,0.211855,0.211855,0.211855,0.211855,0.211855,0.211855,
-0.79,0.214764,0.214764,0.214764,0.214764,0.214764,0.214764,
-0.78,0.217695,0.217695,0.217695,0.217695,0.217695,0.217695,
-0.77,0.22065,0.22065,0.22065,0.22065,0.22065,0.22065,
-0.76,0.223627,0.223627,0.223627,0.223627,0.223627,0.223627,
-0.75,0.226627,0.226627,0.226627,0.226627,0.226627,0.226627,
-0.74,0.22965,0.22965,0.22965,0.22965,0.22965,0.22965,
-0.73,0.232695,0.232695,0.232695,0.232695,0.232695,0.232695,
-0.72,0.235762,0.235763,0.235762,0.235762,0.235762,0.235762,
-0.71,0.238852,0.238852,0.238852,0.238852,0.238852,0.238852,
-0.7,0.241964,0.241964,0.241964,0.241964,0.241964,0.241964,
-0.69,0.245097,0.245097,0.245097,0.245097,0.245097,0.245097,
-0.68,0.248252,0.248252,0.248252,0.248252,0.248252,0.248252,
-0.67,0.251429,0.251429,0.251429,0.251429,0.251429,0.251429,
-0.66,0.254627,0.254627,0.254627,0.254627,0.254627,0.254627,
-0.65,0.257846,0.257846,0.257846,0.257846,0.257846,0.257846,
-0.64,0.261086,0.261086,0.261086,0.261086,0.261086,0.261086,
-0.63,0.264347,0.264347,0.264347,0.264347,0.264347,0.264347,
-0.62,0.267629,0.267629,0.267629,0.267629,0.267629,0.267629,
-0.61,0.270931,0.270931,0.270931,0.270931,0.270931,0.270931,
-0.6,0.274253,0.274253,0.274253,0.274253,0.274253,0.274253,
-0.59,0.277595,0.277595,0.277595,0.277595,0.277595,0.277595,
-0.58,0.280957,0.280957,0.280957,0.280957,0.280957,0.280957,
-0.57,0.284339,0.284339,0.284339,0.284339,0.284339,0.284339,
-0.56,0.28774,0.28774,0.28774,0.28774,0.28774,0.28774,
-0.55,0.29116,0.29116,0.29116,0.29116,0.29116,0.29116,
-0.54,0.294599,0.294599,0.294599,0.294599,0.294599,0.294599,
-0.53,0.298056,0.298056,0.298056,0.298056,0.298056,0.298056,
-0.52,0.301532,0.301532,0.301532,0.301532,0.301532,0.301532,
-0.51,0.305026,0.305026,0.305026,0.305026,0.305026,0.305026,
-0.5,0.308538,0.308538,0.308538,0.308538,0.308538,0.308538,
-0.49,0.312067,0.312067,0.312067,0.312067,0.312067,0.312067,
-0.48,0.315614,0.315614,0.315614,0.315614,0.315614,0.315614,
-0.47,0.319178,0.319178,0.319178,0.319178,0.319178,0.319178,
-0.46,0.322758,0.322758,0.322758,0.322758,0.322758,0.322758,
-0.45,0.326355,0.326355,0.326355,0.326355,0.326355,0.326355,
-0.44,0.329969,0.329969,0.329969,0.329969,0.329969,0.329969,
-0.43,0.333598,0.333598,0.333598,0.333598,0.333598,0.333598,
-0.42,0.337243,0.337243,0.337243,0.337243,0.337243,0.337243,
-0.41,0.340903,0.340903,0.340903,0.340903,0.340903,0.340903,
-0.4,0.344578,0.344578,0.344578,0.344578,0.344578,0.344578,
-0.39,0.348268,0.348268,0.348268,0.348268,0.348268,0.348268,
-0.38,0.351973,0.351973,0.351973,0.351973,0.351973,0.351973,
-0.37,0.355691,0.355691,0.355691,0.355691,0.355691,0.355691,
-0.36,0.359424,0.359424,0.359424,0.359424,0.359424,0.359424,
-0.35,0.363169,0.363169,0.363169,0.363169,0.363169,0.363169,
-0.34,0.366928,0.366928,0.366928,0.366928,0.366928,0.366928,
-0.33,0.3707,0.3707,0.3707,0.3707,0.3707,0.3707,
-0.32,0.374484,0.374484,0.374484,0.374484,0.374484,0.374484,
-0.31,0.37828,0.37828,0.37828,0.37828,0.37828,0.37828,
-0.3,0.382089,0.382089,0.382089,0.382089,0.382089,0.382089,
-0.29,0.385908,0.385908,0.385908,0.385908,0.385908,0.385908,
-0.28,0.389739,0.389739,0.389739,0.389739,0.389739,0.389739,
-0.27,0.39358,0.39358,0.39358,0.39358,0.39358,0.39358,
-0.26,0.397432,0.397432,0.397432,0.397432,0.397432,0.397432,
-0.25,0.401294,0.401294,0.401294,0.401294,0.401294,0.401294,
-0.24,0.405165,0.405165,0.405165,0.405165,0.405165,0.405165,
-0.23,0.409046,0.409046,0.409046,0.409046,0.409046,0.409046,
-0.22,0.412936,0.412936,0.412936,0.412936,0.412936,0.412936,
-0.21,0.416834,0.416834,0.416834,0.416834,0.416834,0.416834,
-0.2,0.42074,0.42074,0.42074,0.42074,0.42074,0.42074,
-0.19,0.424655,0.424655,0.424655,0.424655,0.424655,0.424655,
-0.18,0.428576,0.428576,0.428576,0.428576,0.428576,0.428576,
-0.17,0.432505,0.432505,0.432505,0.432505,0.432505,0.432505,
